NAMESHORT_SB;NAME_SB;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;MEDIAN_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;PER_CHANGE_HIGHEST_THROUGH_CURRENT;KEYVALUE_numOfBuys_R;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID
MEDR-B.ST;MEDIRATT B;5.6;27;63;16.35;12.28;-4.21;-3.54;27;18.45;10.11;15.24;-1.56;-2.29;1.67;4.26;8.55;12.95;2.83;230.85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;;MediRätt AB;MEDR B;11;81251
PRLD.NGM;PROLIGHT DIAGNOSTICS;2.8;13;66.7;25.94;7.08;-7.58;-7.08;64.21;34.8;20.59;40.04;-2.47;-3.32;1.38;4.11;18.12;36.72;1.81;235.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3NT5&marketid=13;YES;Prolight Diagnostics;PRLD MTF;13;3NT5
SALT-B.ST;SALTX TECHNOLOGY HOLDING;16.23;34;57.6;13.84;7.2;-3.73;-2.09;27.47;16.92;8.74;14.12;-1.55;-2.53;1.89;4.81;7.19;11.59;2.3;244.46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108329&marketid=11;;SaltX Technology Holding AB ser. B;SALT B;11;108329
CE.ST;CORTUS ENERGY;0.42;32;54.8;12.07;6.66;-3.28;-3.85;23.29;18.4;8.27;11.2;-1.76;-2.68;3.28;5.89;6.51;8.52;3.08;208.32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;YES;Cortus Energy AB;CE;11;27960
COPP-B.ST;COPPERSTONE RESOURCE;1.047;32;61.3;11.09;5.34;-3.79;-3.91;21.97;15.67;7.91;11.82;-1.83;-2.12;1.38;3.37;6.08;9.7;2.13;194.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;;Copperstone Resources AB ser. B;COPP B;11;38904
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;159.5;24;70.8;9.31;4.24;-2.08;-2.41;16.47;10.66;6.51;10.72;-0.6;-1.36;1.02;2.16;5.91;9.36;1;141.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;;Infant Bacterial Therapeutics AB ser. B;IBT B;11;120381
SPIFFX.ST;SPIFFX;2.21;28;48.1;13.11;7.77;-5.61;-4.61;27.36;20.23;7.37;10.28;-1.52;-2.29;2.02;6.15;5.85;7.99;1.84;163.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPIFFX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108517&marketid=11;;SpiffX AB;SPIFFX;11;108517
COGS.ST;COGNOSEC;0.34;18;61.1;10.83;7.28;-4.59;-2.31;18.95;19.79;11.02;9.62;-2.27;-3.3;1.8;3.07;8.75;6.32;1.91;157.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126905&marketid=11;;Cognosec AB;COGS;11;126905
SERT.ST;SERSTECH;2.2;31;45.2;17.14;5.1;-4.09;-2.53;56.29;17.53;6.61;23.28;-1.25;-2.36;1.33;2.48;5.36;20.92;3.08;166.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;;Serstech AB;SERT;11;96216
EOID.NGM;EYEONID GROUP;10.98;25;75;12.35;7.36;-3.36;-3.55;19.78;11.88;7.62;13.59;-2.39;-3.76;2.42;3.06;5.23;9.83;1.45;130.75;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;YES;Eyeonid Group;EOID MTF;13;3EBY
MERT-A.NGM;MERTIVA;37.2;22;52.4;6.81;2.09;-2.45;-1.71;16.84;12.33;5.61;7.62;-0.52;-1;0.97;1.22;5.09;6.62;1.05;111.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1M0C&marketid=13;YES;Mertiva A;MERT MTF A;13;1M0C
47307.ST;NORDIC LEISURE;27.85;31;56.7;6.89;3.55;-2.16;-1.82;13.94;11.64;5.7;6.86;-0.96;-1.42;1.42;2.09;4.74;5.44;1.12;146.94;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;YES;Nordic Leisure AB;NLAB;11;35508
CRAD-B.ST;C-RAD B;31.6;32;68.8;6.19;2.7;-1.83;-1.38;11.4;8.46;5.09;6.97;-0.95;-1.21;1.2;2.21;4.14;5.76;1.11;132.48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;;C-RAD AB ser. B;CRAD B;11;74313
HMED.ST;HANSA MEDICAL;255;33;60.6;6.98;2.86;-1.71;-1.52;14.54;9.46;4.96;7.97;-0.92;-1.28;1.23;2.55;4.04;6.69;1.21;133.32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11;;Hansa Medical AB;HMED;11;43288
