NAMESHORT_SB;NAME_SB;URL_NN;COMPLIMENTARY_LIST
43464.ST;STOCKWIK FORVALTNING;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;YES
43720.ST;MYCRONIC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;YES
43825.ST;I.A.R SYSTEMS GROUP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;YES
47307.ST;NORDIC LEISURE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;YES
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;YES
AF-B.ST;AF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=862&marketid=11;YES
ALON-B.NGM;ARCHELON;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3PHD&marketid=13;YES
BRIOX.NGM;BRIOX;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=U1A&marketid=13;YES
CAT-A.ST;CATELLA A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62547&marketid=11;YES
CATE.ST;CATENA;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34362&marketid=11;YES
CE.ST;CORTUS ENERGY;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;YES
CELLNK-B.ST;CELLINK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128490&marketid=11;YES
CI-B.ST;CELL IMPACT B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=92429&marketid=11;YES
CLDRE-B.NGM;CLOUDREPUBLIC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3RLL&marketid=13;YES
COMPI.NGM;COMPUTER INNOVATION I VAXJO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3A30&marketid=13;YES
CRWN;CROWN ENERGY;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1DHN&marketid=13;YES
DIVI-B.NGM;DIVIDEND SWEDEN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13;YES
ELEC.ST;ELECTRA GRUPPEN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66436&marketid=11;YES
EOID.NGM;EYEONID GROUP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;YES
FRNT-B.NGM;FRONTOFFICE NORDIC B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37HJ&marketid=13;YES
GTAB B;GLYCOREX TRANSPLANTATION B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2E&marketid=13;YES
GTGS.NGM;GOLD TOWN GAMES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3AJN&marketid=13;YES
GUGEO.NGM;GUIDELINE GEO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=20E&marketid=13;YES
HM-B.ST;HENNES & MAURITZ B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=992&marketid=11;YES
IS.ST;IMAGE SYSTEMS;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3571&marketid=11;YES
KOBR MTFB;KOPPARBERGS B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=KKY&marketid=13;YES
MAHA-A.ST;MAHA ENERGY;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=124631&marketid=11;YES
MERT-A.NGM;MERTIVA;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1M0C&marketid=13;YES
MULT.NGM;MULTIDOCKER CARGO HANDLING;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3K33&marketid=13;YES
NET-B.ST;NETENT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62494&marketid=11;YES
NICKE.NGM;NICKEL MOUNTAIN RESOURCES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3JDK&marketid=13;YES
NTGRP.NGM;NET TRADING GROUP NTG;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3T0L&marketid=13;YES
