NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;COMPLIMENTARY_LIST;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
43464.ST;STOCKWIK FORVALTNING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;Stockwik Förvaltning AB;STWK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;11;1007;YES;0.0488;25;33.3;8.37;4.35;-4.75;24.01;-4.35;4.99;-1.07;4.99;-1.23;-2.1;0;3.26;-2.3;2.89;-2.3;-0.37;1.48
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;Mycronic AB;MYCR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;11;4714;YES;91;34;54.5;3.97;1.98;-1.77;5.1;-1.72;1.98;0.25;1.93;-1.08;-1.15;0.91;1.17;-0.83;0.78;-1.74;-0.39;1.25
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;I.A.R Systems Group AB ser. B;IAR B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;11;2346;YES;276;30;62.1;2.84;1.88;-1.36;4.72;-0.57;4.36;2.37;2.29;-0.54;-0.9;0.51;1.01;1.83;1.39;1.32;0.38;1.02
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;YES;23.95;34;58.8;6.25;3.43;-2.23;12.59;-1.36;8.11;4.12;6.4;-1.14;-1.54;1.45;2.09;2.98;4.86;1.53;2.77;1.34
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;A1M Pharma AB;A1M;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;11;93181;;4.6;37;52.8;8.99;3.92;-4.12;12.03;-3.08;6.03;1.7;4.38;-0.91;-2.43;1.9;3.62;0.79;1.95;-1.11;-1.67;5.63
AAC.ST;AAC MICROTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;ÅAC Microtec AB;AAC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;11;130711;;6.31;20;45;10.53;6.53;-3.61;25.43;-2.63;16.4;5.98;9.51;-1.63;-1.94;1.65;2.3;4.35;7.57;2.7;5.27;2.37
AAK.ST;AARHUSKARLSHAMN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;AAK AB;AAK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;11;36273;;143.86;38;67.6;1.96;1.32;-1.16;3.03;-1.29;1.78;0.61;1.5;-0.4;-0.5;0.51;0.7;0.21;1;-0.3;0.3;1.04
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;Arc Aroma Pure AB ser. B;AAP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;11;93180;;46.85;31;51.6;7.09;3.76;-2.09;14.4;-2.01;10.09;4.22;6.4;-1.1;-1.92;1.77;2.51;3.12;4.48;1.35;1.97;1.82
ABB.ST;ABB LTD N;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;ABB Ltd;ABB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;11;3966;;202.2;33;60.6;2.16;1.41;-0.88;3.07;-0.43;1.94;0.9;1.41;-0.38;-0.56;0.48;0.54;0.52;0.85;0.04;0.31;1.16
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;Abelco Investment Group;ABIG MTF;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;13;3SJQ;YES;0.075;12;63.6;12.38;5.95;-2.7;13.27;-2.47;5.84;2.68;7.32;-1.41;-2.94;2.04;2.8;1.27;4.38;-0.77;1.58;5.66
