NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;COMPLIMENTARY_LIST;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
43464.ST;STOCKWIK FORVALTNING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;Stockwik Förvaltning AB;STWK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;11;1007;YES;0.044;26;30.8;7.8;4.33;-4.94;21.65;-4.67;2.55;-2.35;3.35;-0.62;-1.88;0.0;3.29;-2.97;1.47;-2.97;-1.82;1.62
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;Mycronic AB;MYCR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;11;4714;YES;102.1;32;58.1;5.13;2.0;-1.76;8.68;-1.72;3.0;0.98;4.27;-1.23;-1.16;0.61;1.21;-0.25;3.11;-0.86;1.9;1.11
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;I.A.R Systems Group AB ser. B;IAR B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;11;2346;YES;280.0;30;62.1;2.81;1.81;-1.36;4.9;-0.57;4.6;2.58;2.47;-0.53;-0.89;0.51;1.0;2.05;1.58;1.54;0.58;1.0
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;YES;23.05;32;56.2;6.46;3.46;-2.32;13.71;-1.59;10.83;5.36;6.66;-1.14;-1.56;1.45;2.21;4.22;5.1;2.77;2.89;1.3
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;A1M Pharma AB;A1M;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;11;93181;;3.83;38;54.1;8.27;4.19;-4.28;9.69;-3.2;4.9;1.16;3.26;-0.82;-2.31;1.86;3.47;0.34;0.95;-1.52;-2.52;6.75
AAC.ST;AAC MICROTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;ÅAC Microtec AB;AAC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;11;130711;;7.18;18;44.4;10.77;5.98;-3.72;26.96;-2.73;18.06;6.53;9.93;-1.6;-1.85;1.65;2.35;4.93;8.08;3.28;5.73;2.23
AAK.ST;AARHUSKARLSHAMN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;AAK AB;AAK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;11;36273;;823.0;39;66.7;1.86;1.29;-1.16;2.75;-1.29;1.57;0.53;1.36;-0.35;-0.5;0.43;0.62;0.18;0.86;-0.25;0.24;1.0
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;Arc Aroma Pure AB;AAP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;11;93180;;38.1;30;50.0;7.07;3.69;-2.09;15.28;-2.01;10.18;4.08;6.59;-1.1;-1.93;1.78;2.5;2.98;4.66;1.2;2.16;2.17
ABB.ST;ABB LTD N;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;ABB Ltd;ABB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;11;3966;;200.1;34;63.6;2.15;1.26;-0.66;3.54;-0.43;2.13;1.13;1.94;-0.37;-0.39;0.49;0.9;0.76;1.55;0.27;0.65;1.06
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;Abelco Investment Group;ABIG MTF;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;13;3SJQ;YES;0.084;9;62.5;14.2;5.95;-2.75;16.02;-3.09;5.84;2.43;8.92;-1.44;-3.73;2.33;3.19;0.99;5.19;-1.34;2.0;5.24
