NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;COMPLIMENTARY_LIST;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;MEDIAN_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
43464.ST;STOCKWIK FORVALTNING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;Stockwik Förvaltning AB;STWK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;11;1007;YES;0.0484;25;32;8.16;4.77;-4.94;24.49;-4.67;2.78;-2.2;4.57;0;-1.78;0;3.36;-2.2;2.79;1.51
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;Mycronic AB;MYCR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;11;4714;YES;111.3;33;63.6;5.06;2.05;-1.92;8.41;-1.98;2.6;0.86;4.58;-1.23;-1.26;0.58;1.15;-0.37;3.32;1.03
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;I.A.R Systems Group AB ser. B;IAR B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;11;2346;YES;249;29;65.5;2.89;1.77;-1.32;4.69;-0.56;4.36;2.59;2.54;-0.54;-0.93;0.53;1.06;2.05;1.61;1.03
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;YES;28.5;31;56.7;6.84;3.58;-2.16;13.94;-1.82;11.64;5.78;6.94;-0.96;-1.42;1.44;2.1;4.82;5.52;1.08
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;A1M Pharma AB;A1M;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;11;93181;;4.7;38;52.6;8.38;4.09;-4.03;9.86;-3.2;4.9;1.05;3.26;-0.89;-2.44;1.86;3.61;0.16;0.82;7.53
AAC.ST;AAC MICROTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;ÅAC Microtec AB;AAC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;11;130711;;7.16;17;41.2;10.7;5.49;-3.72;30.34;-2.73;20.27;6.79;10.36;-1.6;-1.85;1.55;2.19;5.19;8.51;1.94
AAK.ST;AARHUSKARLSHAMN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;AAK AB;AAK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;11;36273;;770;39;65.8;1.93;1.29;-1.09;2.69;-0.93;1.57;0.64;1.32;-0.41;-0.55;0.5;0.63;0.23;0.77;1
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;Arc Aroma Pure AB;AAP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;11;93180;;39.7;32;48.4;6.83;3.3;-2.05;14.92;-2.01;10.18;3.9;6.17;-1.17;-2.13;1.5;2.36;2.73;4.04;2.25
ABB.ST;ABB LTD N;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;ABB Ltd;ABB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;11;3966;;207;33;60.6;2.09;1.16;-0.66;3.28;-0.43;1.7;0.81;1.67;-0.24;-0.07;0.65;1.15;0.57;1.6;1.17
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;Abelco Investment Group;ABIG MTF;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;13;3SJQ;YES;0.105;9;62.5;13.33;5.84;-2.75;16.02;-3.09;5.84;2.43;8.92;-1.44;-3.73;0.95;3.13;0.99;5.19;3.72
