NAMESHORT_SB;NAME_SB;URL_SB;URL_NN;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;ACTIVE;ACTIVE_TEMP;AMOUNT_HELD;PRICE;PRICE_TEMP
SALT-B.ST;SALTX TECHNOLOGY HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108329&marketid=11;SaltX Technology Holding AB ser. B;SALT B;11;108329;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;20.54;
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;Copperstone Resources AB ser. B;COPP B;11;38904;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;1.12;
SERT.ST;SERSTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;Serstech AB;SERT;11;96216;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;1.855;
HMED.ST;HANSA MEDICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11;Hansa Medical AB;HMED;11;43288;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;218.6;
CE.ST;CORTUS ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;Cortus Energy AB;CE;11;27960;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;0.46;
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;Active Biotech AB;ACTI;11;877;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;2.6;
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;Nordic Leisure AB;NLAB;11;35508;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;22.45;
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;Scandinavian Enviro Systems AB;SES;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;1.22;
CRAD-B.ST;C-RAD B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;C-RAD AB ser. B;CRAD B;11;74313;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;33.9;
TROAX.ST;TROAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107899&marketid=11;Troax Group AB;TROAX;11;107899;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;296.5;
