NAMESHORT_SB;NAME_SB;PRICE;NAME_NORDNET;NAMESHORT_NORDNET;GROUP_BUY;MARKET_ID;IDENTIFIER_ID;URL_SB;URL_NN;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
SALT-B.ST;SALTX TECHNOLOGY HOLDING;20.54;SaltX Technology Holding AB ser. B;SALT B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;108329;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108329&marketid=11;31.0;58.1;13.84;6.95;-3.73;27.96;-2.09;16.8;8.84;14.64;-1.51;-2.52;1.75;2.69;7.33;12.12;5.58;9.43;3.08
COPP-B.ST;COPPERSTONE RESOURCE;1.12;Copperstone Resources AB ser. B;COPP B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;38904;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;34.0;60.6;10.73;5.24;-3.56;21.78;-3.68;16.17;8.3;11.74;-1.87;-2.14;1.38;3.43;6.43;9.6;5.05;6.17;1.85
SERT.ST;SERSTECH;1.855;Serstech AB;SERT;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;96216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;31.0;43.3;17.6;5.59;-4.22;53.8;-2.83;18.71;6.53;20.94;-0.82;-2.18;1.35;2.61;5.71;18.76;4.36;16.15;3.06
HMED.ST;HANSA MEDICAL;218.6;Hansa Medical AB;HMED;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;43288;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11;34.0;60.6;6.25;2.73;-1.71;12.23;-1.52;9.46;5.08;6.68;-0.83;-1.18;1.23;2.54;4.25;5.5;3.02;2.96;1.1
CE.ST;CORTUS ENERGY;0.46;Cortus Energy AB;CE;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;27960;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;31.0;51.6;11.57;6.39;-3.28;22.52;-3.85;18.32;7.58;10.02;-1.67;-2.65;2.92;4.99;5.91;7.37;2.99;2.38;3.1
ACTI.ST;ACTIVE BIOTECH;2.6;Active Biotech AB;ACTI;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;877;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;32.0;75.0;11.19;4.72;-8.87;15.44;-3.57;9.17;5.86;9.24;-1.41;-2.75;1.58;3.73;4.45;6.49;2.87;2.76;5.18
47307.ST;NORDIC LEISURE;22.45;Nordic Leisure AB;NLAB;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;35508;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;32.0;56.2;6.49;3.47;-2.32;13.71;-1.59;10.83;5.36;6.66;-1.12;-1.54;1.44;2.17;4.24;5.12;2.8;2.95;1.16
SES.ST;SCAND ENVIRO SYS;1.22;Scandinavian Enviro Systems AB;SES;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;101603;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;33.0;50.0;11.06;4.2;-2.54;24.76;-1.86;12.9;5.52;11.11;-1.51;-3.37;1.32;4.48;4.01;7.74;2.69;3.26;4.4
CRAD-B.ST;C-RAD B;33.9;C-RAD AB ser. B;CRAD B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;74313;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;32.0;71.0;6.23;2.71;-1.86;10.7;-1.21;7.21;4.66;6.95;-1.0;-1.25;1.33;2.27;3.66;5.7;2.33;3.43;1.02
TROAX.ST;TROAX GROUP;296.5;Troax Group AB;TROAX;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;107899;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107899&marketid=11;34.0;64.7;4.12;2.1;-1.04;7.86;-0.78;6.33;3.75;4.64;-0.46;-0.92;1.05;1.31;3.29;3.72;2.24;2.41;1.01
