NAMESHORT_SB;NAME_SB;NAME_NORDNET;URL_NORDNET;MARKET_ID;IDENTIFIER;HELD;ACTIVE;ACTIVE_TEMP;AMOUNT_HELD;PRICE;PRICE_TEMP
BRIG.ST;BRIGHTER AB;Brighter AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;11;86375;;;;;;
CE.ST;CORTUS ENERGY;Cortus Energy AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;11;27960;;;;;;
CI-B.ST;CELL IMPACT B;Cell Impact AB ser. B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=92429&marketid=11;11;92429;;;;;;
COPP-B.ST;COPPERSTONE RESOURCE;Copperstone Resources AB ser. B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;11;38904;;;;;;
ENRO.ST;ENIRO;Eniro AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=11046&marketid=11;11;11046;;;;;;
EOID.NGM;EYEONID GROUP;Eyeonid Group;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;13;3EBY;;;;;;
G5EN.ST;G5 ENTERTAINMENT;G5 Entertainment AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;11;60158;;;;;;
GOMX.ST;GOMSPACE GROUP;GomSpace Group AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123579&marketid=11;11;123579;;;;;;
HELIO.ST;HELIOSPECTRA;Heliospectra AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101607&marketid=11;11;101607;;;;;;
INVUO.ST;INVUO TECHNOLOGIES;Invuo Technologies AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34601&marketid=11;11;34601;;;;;;
MAV.ST;MAVSHACK AB;Mavshack AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=58547&marketid=11;11;58547;;;;;;
PIEZO.ST;PIEZOMOTOR UPPSALA;PiezoMotor Uppsala AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;11;123299;;;;;;
SALT-B.ST;SALTX TECHNOLOGY HOLDING;SaltX Technology Holding AB ser. B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108329&marketid=11;11;108329;;;;;;
SERT.ST;SERSTECH;Serstech AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;11;96216;;;;;;
SES.ST;SCAND ENVIRO SYS;Scandinavian Enviro Systems AB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;;;;;;
SPEC.ST;SPECTRACURE;SpectraCure;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4138&marketid=52;52;4138;;;;;;
