NAMESHORT_SB;NAME_SB;URL_SB;URL_NN;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;ACTIVE;ACTIVE_TEMP;AMOUNT_HELD;PRICE;PRICE_TEMP
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;G5 Entertainment AB;G5EN;11;60158;GROUP 1_mediumRisk;;;;346.0;
BOUL.ST;BOULE DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11;Boule Diagnostics AB;BOUL;11;82889;GROUP 1_mediumRisk;;;;286.0;
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;Biotage AB;BIOT;11;5209;GROUP 1_mediumRisk;;;;88.1;
CINN.ST;CINNO FIN TECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102935&marketid=11;Cinnober Financial Technology AB;CINN;11;102935;GROUP 1_mediumRisk;;;;72.9;
CRAD-B.ST;C-RAD B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;C-RAD AB ser. B;CRAD B;11;74313;GROUP 1_mediumRisk;;;;31.75;
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;Hexatronic Group AB;HTRO;11;82816;GROUP 1_mediumRisk;;;;62.7;
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11;CTT Systems AB;CTT;11;3081;GROUP 1_mediumRisk;;;;180.2;
TRANS.ST;TRANSTEMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;Transtema Group AB;TRANS;11;109528;GROUP 1_mediumRisk;;;;29.5;
PROB.ST;PROBI AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11;Probi AB;PROB;11;27701;GROUP 1_mediumRisk;;;;478.2;
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;RaySearch Laboratories AB ser. B;RAY B;11;1063;GROUP 1_mediumRisk;;;;123.7;
