NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;ACTIVE;ACTIVE_TEMP;VOLUME_HELD;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
SALT-B.ST;SALTX TECHNOLOGY HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;SaltX Technology Holding AB ser. B;SALT B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108329&marketid=11;11;108329;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;20.5;;;;30.0;58.1;13.93;6.7;-3.37;27.96;-1.96;16.8;8.9;14.79;-1.51;-2.52;1.68;2.72;7.39;12.27;5.71;9.55;3.08
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;Copperstone Resources AB ser. B;COPP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;11;38904;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.175;;;;33.0;61.8;10.71;5.24;-3.28;21.78;-3.44;16.17;8.62;12.15;-1.87;-2.14;1.31;3.41;6.75;10.01;5.44;6.6;1.96
CE.ST;CORTUS ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;Cortus Energy AB;CE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27960&marketid=11;11;27960;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;0.635;;;;31.0;54.8;11.57;6.39;-3.28;22.52;-3.85;18.32;8.28;10.83;-1.67;-2.65;2.92;4.99;6.61;8.18;3.69;3.19;3.1
SERT.ST;SERSTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;Serstech AB;SERT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=96216&marketid=11;11;96216;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;2.07;;;;30.0;43.3;9.95;5.1;-4.22;22.4;-2.83;17.53;6.02;7.34;-0.77;-1.9;1.56;2.64;5.25;5.44;3.69;2.8;3.12
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.295;;;;34.0;52.9;11.7;4.18;-2.54;26.69;-1.86;13.29;6.14;12.91;-1.51;-3.38;1.33;4.64;4.63;9.53;3.3;4.89;2.71
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;23.05;;;;32.0;56.2;6.46;3.46;-2.32;13.71;-1.59;10.83;5.36;6.66;-1.14;-1.56;1.45;2.21;4.22;5.1;2.77;2.89;1.3
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;Active Biotech AB;ACTI;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;11;877;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;2.35;;;;32.0;74.2;11.36;4.79;-8.87;15.44;-3.57;9.17;5.76;9.05;-1.5;-2.8;1.58;3.73;4.26;6.25;2.68;2.52;5.18
HMED.ST;HANSA MEDICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;Hansa Medical AB;HMED;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11;11;43288;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;224.2;;;;35.0;61.8;6.3;2.79;-1.71;11.82;-1.52;8.6;4.68;6.59;-0.79;-1.15;1.28;2.51;3.89;5.44;2.61;2.93;1.22
CRAD-B.ST;C-RAD B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;C-RAD AB ser. B;CRAD B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;11;74313;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;34.15;;;;32.0;68.8;6.16;2.71;-1.86;10.7;-1.21;7.21;4.49;6.69;-1.0;-1.25;1.32;2.21;3.49;5.44;2.17;3.23;1.03
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;BE Group AB;BEGR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;11;37309;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;52.6;;;;31.0;71.0;4.85;2.62;-1.41;7.31;-1.28;5.7;3.57;4.68;-0.74;-1.01;0.73;1.42;2.83;3.67;2.1;2.25;1.28
