NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID
43464.ST;STOCKWIK FORVALTNING;0.0468;62.5;241;58.3;192;38.5;72;53.1;168;26;28.0;8.49;5.0;-4.93;-4.83;24.49;2.78;-3.5;2.51;1.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;YES;Stockwik Förvaltning AB;STWK;11;1007
43720.ST;MYCRONIC;107.3;56.2;122;56.2;140;62.5;270;58.3;177;32;61.3;5.26;2.21;-1.92;-1.98;8.81;3.22;0.41;3.86;1.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;YES;Mycronic AB;MYCR;11;4714
43825.ST;I.A.R SYSTEMS GROUP;247.0;55.6;125;60.9;141;64.4;214;60.3;160;29;65.5;2.96;1.77;-1.32;-0.56;4.63;4.36;1.86;1.78;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;YES;I.A.R Systems Group AB ser. B;IAR B;11;2346
47307.ST;NORDIC LEISURE;25.1;75.0;204;55.9;465;53.2;622;61.4;430;31;56.7;6.83;3.55;-2.16;-1.82;13.87;11.64;5.01;6.13;1.07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;YES;Nordic Leisure AB;NLAB;11;35508
66669.ST;ALLTELE;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1M.ST;A1M;4.0;59.1;157;57.5;185;59.2;494;58.6;278;38;51.4;8.06;3.92;-4.03;-3.2;9.58;4.13;-0.23;2.17;6.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;;A1M Pharma AB;A1M;11;93181
AAC.ST;AAC MICROTEC;6.63;68.8;223;63.3;541;58.8;490;63.6;418;17;37.5;11.1;5.49;-3.72;-2.73;30.34;20.27;5.09;8.25;2.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;;ÅAC Microtec AB;AAC;11;130711
AAK.ST;AARHUSKARLSHAMN;751.0;57.1;104;59.0;121;58.7;156;58.3;127;37;64.9;1.94;1.23;-1.09;-0.93;2.7;1.49;-0.16;0.57;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;;AAK AB;AAK;11;36273
AAP-B.ST;ARC AROMA;40.6;66.7;176;63.3;338;58.5;1140;62.8;551;32;50.0;6.82;3.3;-2.16;-2.12;14.03;10.09;3.18;5.13;2.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;;Arc Aroma Pure AB;AAP B;11;93180
ABB.ST;ABB LTD N;191.6;57.9;106;63.6;132;59.7;170;60.4;136;33;59.4;2.09;1.16;-0.66;-0.43;3.28;1.7;0.04;0.88;1.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;;ABB Ltd;ABB;11;3966
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.112;75.0;164;75.0;264;75.0;264;75.0;230;8;71.4;13.63;5.84;-2.27;-2.2;16.02;5.84;2.74;9.99;2.93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;YES;Abelco Investment Group;ABIG MTF;13;3SJQ
ACAD.ST;ACADEMEDIA;53.4;42.1;107;61.3;145;62.7;199;55.4;150;25;60.0;3.64;1.84;-1.78;-1.2;5.19;5.24;1.86;1.6;1.19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11;;AcadeMedia AB;ACAD;11;123363
ACAN-B.ST;ACANDO;29.7;63.2;104;70.3;140;63.1;248;65.5;164;32;68.8;3.39;2.25;-1.44;-1.01;5.57;4.27;1.82;2.58;1.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;;Acando AB ser. B;ACAN B;11;981
