NAMESHORT_SB;NAME_SB;PRICE;NAME_NORDNET;NAMESHORT_NORDNET;GROUP_BUY;MARKET_ID;IDENTIFIER_ID;URL_SB;URL_NN;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT
G5EN.ST;G5 ENTERTAINMENT;315.8;G5 Entertainment AB;G5EN;GROUP 1_mediumRisk;11;60158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;63.2;147;57.1;252;63.6;1724;61.3;707;38;81.6;7.38;5.39;-3.54;-3.32;10.49;7.12;4.4;7.11;1.23
BIOT.ST;BIOTAGE;80.1;Biotage AB;BIOT;GROUP 1_mediumRisk;11;5209;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;57.1;144;67.6;264;64.4;479;63;295;36;69.4;4.23;2.18;-1.83;-1.99;7.87;6.79;3.3;4.1;1.3
BIM.ST;BIMOBJECT;36.2;BIMobject AB;BIM;GROUP 1_mediumRisk;11;99204;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11;47.1;130;61.5;191;68.1;1545;58.9;622;34;70.6;7.8;3.52;-2.45;-2.59;14.01;7.4;3.66;8.37;1.11
HTRO.ST;HEXATRONIC GROUP;57.5;Hexatronic Group AB;HTRO;GROUP 1_mediumRisk;11;82816;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;73.3;156;74.3;252;65.7;565;71.1;324;33;75.8;5.51;2.94;-2.5;-2.48;8.89;6.57;3.58;5.33;1.49
CRAD-B.ST;C-RAD B;31;C-RAD AB ser. B;CRAD B;GROUP 1_mediumRisk;11;74313;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;62.5;133;71.9;356;62.5;528;65.6;339;32;67.7;6.33;2.71;-1.83;-1.38;11.4;8.46;4.48;6.33;1.15
RAY-B.ST;RAYSEARCH LABORATORIES B;123.8;RaySearch Laboratories AB ser. B;RAY B;GROUP 1_mediumRisk;11;1063;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;92.9;163;71.4;199;67.2;497;77.2;286;32;71;5.84;3.17;-0.85;-0.27;8.61;5.54;3.06;5.07;1.8
ACTI.ST;ACTIVE BIOTECH;2.77;Active Biotech AB;ACTI;GROUP 2_highRisk;11;877;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;78.6;254;80;429;71;1061;76.5;581;31;76.7;11.06;3.75;-8.84;-3.57;15.21;7.63;4.22;8.81;4.91
BEGR.ST;BE GROUP;47;BE Group AB;BEGR;GROUP 1_mediumRisk;11;37309;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;62.5;110;58.8;176;60.3;391;60.5;225;31;67.7;4.94;2.65;-1.54;-1.5;7.87;6.36;3.02;4.03;1.35
MEDR-B.ST;MEDIRATT B;5.83;MediRätt AB;MEDR B;GROUP 2_highRisk;11;81251;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;58.3;98;69.2;321;70.4;2319;66;912;27;65.4;16.53;12.29;-4.21;-3.54;27;18.45;10.04;15.4;2.64
NXTMS.ST;NEXSTIM;2.05;Nexstim Oyj;NXTMS;GROUP 1_mediumRisk;11;103571;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;45.5;85;58.6;120;67.9;1822;57.3;675;27;70.4;11.65;8.4;-5.36;-4.07;14.09;8.74;4.15;7.53;4.8
EOID.NGM;EYEONID GROUP;11.78;Eyeonid Group;EOID MTF;GROUP 1_mediumRisk;13;3EBY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;68.2;178;71.1;1001;72;2295;70.4;1158;25;75;12.35;7.36;-3.36;-3.55;19.78;11.88;7.22;13.2;1.45
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;139;Infant Bacterial Therapeutics AB ser. B;IBT B;GROUP 1_mediumRisk;11;120381;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;42.9;163;46.2;283;62.5;1231;50.5;559;24;69.6;8.85;4.09;-2.08;-2.41;16.47;10.66;5.89;10.03;1.2
PIEZO.ST;PIEZOMOTOR UPPSALA;44.1;PiezoMotor Uppsala AB;PIEZO;GROUP 1_mediumRisk;11;123299;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;78.6;362;76.7;572;66.7;720;74;551;24;73.9;8.79;4.37;-3.91;-4.04;14.44;9.3;5.02;8.85;1.04
