NAMESHORT_SB;NAME_SB
A1M-TO.ST;A1M PHARMA SUBSCR OPT
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT
BRIG-TO3.ST;BRIGHTER SUBSCR OPT
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT
NHCBHFFS.ST;NORTHERN HORIZON CAPITAL ETF
SALT-TO-2B.ST;SALTX TECHNOLOGY HOLDING SUBSCR OPT
VICP.ST;VICTORIA PARK
XACT.ST;XACT OMX30 ETF
XACT-BEAR.ST;XACT BEAR ETF
XACT-BEAR-2.ST;XACT BEAR2 ETF
XACT-BULL.ST;XACT BULL ETF
XACT-BULL-2.ST;XACT BULL2 ETF
XACTHDIV.ST;XACTHDIV ETF
XACT-NORDEN-30.ST;XACT NORDEN 30 ETF
XACT-OMXSB-UTD.ST;XACT OMXSB Utd ETF
XACT-SMABOLAG.ST;XACT SVENSKA SMABOLAG UCITS ETF
XESC.ST;DBX ES50 DR 1C ETF
XMEM.ST;DB X-TRACKERS MSCI EM ETF
XMWO.ST;DBX MSCI WORLD ETF
XSPX.ST;DB X-TRACKERS S&P 500 ETF
