NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;COMPLIMENTARY_LIST;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;MEDIAN_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
43464.ST;STOCKWIK FORVALTNING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;Stockwik Förvaltning AB;STWK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;11;1007;YES;0.0468;26;28;8.49;5;-4.93;24.49;-4.83;2.78;-3.5;2.51;;;;;;;1.53
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;Mycronic AB;MYCR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;11;4714;YES;107.3;32;61.3;5.26;2.21;-1.92;8.81;-1.98;3.22;0.41;3.86;;;;;;;1.06
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;I.A.R Systems Group AB ser. B;IAR B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;11;2346;YES;247;29;65.5;2.96;1.77;-1.32;4.63;-0.56;4.36;1.86;1.78;;;;;;;1
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;Nordic Leisure AB;NLAB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;11;35508;YES;25.1;31;56.7;6.83;3.55;-2.16;13.87;-1.82;11.64;5.01;6.13;;;;;;;1.07
66669.ST;ALLTELE;;;;;;;;;;;;;;;;;;;;;;;;;
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;A1M Pharma AB;A1M;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;11;93181;;4;38;51.4;8.06;3.92;-4.03;9.58;-3.2;4.13;-0.23;2.17;;;;;;;6.02
AAC.ST;AAC MICROTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;ÅAC Microtec AB;AAC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;11;130711;;6.63;17;37.5;11.1;5.49;-3.72;30.34;-2.73;20.27;5.09;8.25;;;;;;;2.1
AAK.ST;AARHUSKARLSHAMN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;AAK AB;AAK;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;11;36273;;751;37;64.9;1.94;1.23;-1.09;2.7;-0.93;1.49;-0.16;0.57;;;;;;;1.04
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;Arc Aroma Pure AB;AAP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;11;93180;;40.6;32;50;6.82;3.3;-2.16;14.03;-2.12;10.09;3.18;5.13;;;;;;;2.12
ABB.ST;ABB LTD N;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;ABB Ltd;ABB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;11;3966;;191.6;33;59.4;2.09;1.16;-0.66;3.28;-0.43;1.7;0.04;0.88;;;;;;;1.17
ABIGR.NGM;ABELCO INVESTMENT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;Abelco Investment Group;ABIG MTF;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;13;3SJQ;YES;0.112;8;71.4;13.63;5.84;-2.27;16.02;-2.2;5.84;2.74;9.99;;;;;;;2.93
ACAD.ST;ACADEMEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;AcadeMedia AB;ACAD;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11;11;123363;;53.4;25;60;3.64;1.84;-1.78;5.19;-1.2;5.24;1.86;1.6;;;;;;;1.19
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;Acando AB ser. B;ACAN B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;11;981;;29.7;32;68.8;3.39;2.25;-1.44;5.57;-1.01;4.27;1.82;2.58;;;;;;;1.14
ACARIX.ST;ACARIX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;Acarix AB;ACARIX;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11;11;130710;;9;18;27.8;5.65;3.18;-4.14;7.96;-3.28;4.83;-1.83;-1.58;;;;;;;2.35
ACM.ST;A CITY MEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;A City Media AB;ACM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11;11;116111;;129.5;32;48.4;5.57;2.95;-2.19;10.39;-1.28;6.95;1.9;3.1;;;;;;;1.25
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;Active Biotech AB;ACTI;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;11;877;;2.77;31;76.7;11.06;3.75;-8.84;15.21;-3.57;7.63;4.22;8.81;;;;;;;4.91
ADDERA.ST;ADDERACARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;AdderaCare AB;ADDERA;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11;11;129533;;9.56;18;64.7;4.8;3.79;-3.23;4.96;-3.24;4.07;0.69;1.27;;;;;;;1.57
ADDT-B.ST;ADDTECH B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;Addtech AB ser. B;ADDT B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11;11;14336;;175.2;35;67.6;2.95;1.75;-1.58;4.54;-1.55;4.54;1.77;1.76;;;;;;;1.18
ADDV-B.ST;ADDVISE GROUP;;;;;;;;;;;;;;;;;;;;;;;;;
ADVE.ST;ADVENICA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;Advenica AB;ADVE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11;11;102777;;12.35;34;52.9;5.39;3.59;-2.64;7.63;-2.95;6.78;1.4;1.99;;;;;;;1.88
AERO.ST;SVENSKA AEROGEL HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;Svenska Aerogel Holding AB;AERO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11;11;130818;;5.1;25;45.8;6.62;3.18;-2.52;8.68;-2.18;3.51;-0.37;1.81;;;;;;;1.69
AF-B.ST;AF B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;ÅF AB ser. B;AF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=862&marketid=11;11;862;YES;182.9;39;56.4;2.16;1.42;-1.07;3.64;-0.98;3.37;0.67;0.79;;;;;;;1.09
AGES-B.ST;AGES INDUSTRI;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;Ages Industri AB ser. B;AGES B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100816&marketid=11;11;100816;;86;20;70;3.53;1.98;-1.5;4.19;-1.53;2.75;0.67;1.68;;;;;;;1.63
AGORA-PREF.ST;AGORA PREF PRF;;;;;;;;;;;;;;;;;;;;;;;;;
AGRO.ST;AGROMINO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;Agromino A/S;AGRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11;11;40543;;19.4;35;52.8;4.49;2.23;-1.86;6.16;-1.46;2.85;0.02;1.57;;;;;;;1.84
AHSL.ST;AHLSELL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;Ahlsell AB;AHSL;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11;11;128388;;52.4;27;57.7;1.48;1.09;-1.23;1.59;-1.36;1.24;-0.66;-0.4;;;;;;;1.19
AIK-B.NGM;AIK FOTBALL B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;AIK Fotboll B;AIK B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2X7&marketid=13;13;2X7;;2.29;31;38.7;4.25;2.8;-2.17;6.86;-1.42;3.14;-0.46;0.52;;;;;;;1.27
AINO.ST;AINO HEALTH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;Aino Health AB;AINO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11;11;130478;;4.66;18;38.9;7.1;3.34;-2.5;5.74;-1.9;4.3;-0.29;-0.09;;;;;;;4.82
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;Akelius Residential AB Pref;AKEL PREF;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101200&marketid=11;11;101200;;338.5;33;57.6;0.9;0.56;-0.6;1.18;-0.47;0.95;-0.45;-0.37;;;;;;;1.04
ALCA.ST;ALCADON GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;Alcadon Group AB;ALCA;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11;11;126683;;40.8;22;61.9;3.27;2.13;-2.03;5.72;-2.05;4.51;1.21;1.97;;;;;;;1.01
