DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;CONFIRMATION;PRICE_LAST;PRICE_LEVEL;LAST_LEVEL_DIFFERENCE
2018-03-08;09:07;Thursday;CI-B.ST;BUY;UPGreen;11.25;10.775;104.41
2018-03-08;09:07;Thursday;EOID.NGM;SELL;DOWNGreen;12.14;12.52;96.96
2018-03-08;09:07;Thursday;G5EN.ST;BUY;UPYellow;335;321;104.36
2018-03-08;09:07;Thursday;SPEC.ST;BUY;UPGreen;18.3;15.9;115.09
2018-03-08;09:12;Thursday;HELIO.ST;BUY;UPGreen;7.2;7.08;101.69
2018-03-08;09:12;Thursday;SPEC.ST;BUY;UPRed;17.56;15.9;110.44
2018-03-08;09:14;Thursday;G5EN.ST;BUY;UPGreen;336;321;104.67
2018-03-08;09:14;Thursday;PIEZO.ST;BUY;UPGreen;46.8;46.7;100.21
2018-03-08;09:33;Thursday;CI-B.ST;BUY;UPYellow;11.15;10.775;103.48
2018-03-08;09:33;Thursday;EOID.NGM;SELL;DOWNRed;12.32;12.52;98.4
2018-03-08;09:33;Thursday;SALT-B.ST;SELL;DOWNGreen;25.5;25.9;98.46
2018-03-08;09:35;Thursday;EOID.NGM;SELL;DOWNOrange;12.3;12.52;98.24
2018-03-08;09:40;Thursday;SPEC.ST;BUY;UPYellow;17.98;15.9;113.08
2018-03-08;09:47;Thursday;G5EN.ST;BUY;UPRed;334.6;321;104.24
2018-03-08;09:47;Thursday;SALT-B.ST;SELL;DOWNYellow;25.52;25.9;98.53
2018-03-08;09:52;Thursday;EOID.NGM;SELL;DOWNYellow;12.16;12.52;97.12
2018-03-08;09:52;Thursday;HELIO.ST;BUY;UPRed;7.16;7.08;101.13
2018-03-08;10:52;Thursday;HELIO.ST;BUY;UPYellow;7.2;7.08;101.69
2018-03-08;10:54;Thursday;CI-B.ST;BUY;UPRed;11.1;10.775;103.02
2018-03-08;19:45;Thursday;EOID.NGM;SELL;SELL;11.58;12.4;93.39
2018-03-08;19:45;Thursday;G5EN.ST;BUY;BUY;334;333.6;100.12
2018-03-08;19:45;Thursday;HELIO.ST;BUY;BUY;7.2;7.16;100.56
2018-03-08;19:45;Thursday;SALT-B.ST;SELL;SELL;24.82;25.86;95.98
2018-03-08;19:45;Thursday;SPEC.ST;BUY;BUY;18.38;17.54;104.79
2018-03-09;09:23;Friday;ENRO.ST;BUY;UPGreen;0.0516;0.0515;100.19
2018-03-09;09:28;Friday;ENRO.ST;BUY;UPYellow;0.052;0.0515;100.97
2018-03-09;10:44;Friday;ENRO.ST;BUY;UPOrange;0.0518;0.0515;100.58
2018-03-09;11:22;Friday;CI-B.ST;BUY;UPGreen;11.25;10.775;104.41
2018-03-09;11:45;Friday;ENRO.ST;BUY;UPRed;0.0516;0.0515;100.19
2018-03-09;19:45;Friday;ENRO.ST;BUY;BUY;0.0522;0.0516;101.163
2018-03-09;19:45;Friday;EOID.NGM;SELL;SELL;11.5800;12.4000;93.387
2018-03-11;19:45;Sunday;ENRO.ST;BUY;BUY;0.0522;0.0516;101.163
2018-03-12;09:05;Monday;SPEC.ST;SELL;DOWNGreen;17.6000;17.8600;98.544
2018-03-12;09:14;Monday;INVUO.ST;SELL;DOWNGreen;2.5400;2.5500;99.608
2018-03-12;09:16;Monday;SPEC.ST;SELL;DOWNOrange;17.6800;17.8600;98.992
2018-03-12;09:23;Monday;SERT.ST;BUY;UPGreen;2.2700;2.2100;102.715
2018-03-12;09:33;Monday;SPEC.ST;SELL;DOWNYellow;17.6200;17.8600;98.656
2018-03-12;09:40;Monday;INVUO.ST;SELL;DOWNOrange;2.5350;2.5500;99.412
2018-03-12;09:40;Monday;SPEC.ST;SELL;DOWNRed;17.8400;17.8600;99.888
2018-03-12;09:54;Monday;INVUO.ST;SELL;DOWNYellow;2.5200;2.5500;98.824
2018-03-12;10:20;Monday;INVUO.ST;SELL;DOWNRed;2.5350;2.5500;99.412
2018-03-12;11:50;Monday;GOMX.ST;BUY;UPGreen;71.0000;69.5000;102.158
2018-03-12;12:06;Monday;GOMX.ST;BUY;UPRed;71.1000;69.5000;102.302
2018-03-12;12:32;Monday;GOMX.ST;BUY;UPYellow;71.5000;69.5000;102.878
2018-03-12;19:45;Monday;GOMX.ST;BUY;BUY;72.3000;71.0000;101.831
2018-03-12;19:45;Monday;INVUO.ST;SELL;SELL;2.4750;2.5460;97.211
2018-03-12;19:45;Monday;SPEC.ST;SELL;SELL;17.7000;17.8400;99.215
2018-03-13;09:09;Tuesday;SES.ST;BUY;UPOrange;2.1500;2.1300;100.939
2018-03-13;09:12;Tuesday;SES.ST;BUY;UPYellow;2.1600;2.1300;101.408
2018-03-13;09:30;Tuesday;CI-B.ST;BUY;UPGreen;11.0000;10.7750;102.088
