NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
SERT.ST;SERSTECH;55.6;316;58.8;493;57.6;8518;57.3;3109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;178.1457
MAV.ST;MAVSHACK AB;83.3;174;73.5;1452;70.3;4932;75.7;2186;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;165.4802
ORTI-A.ST;ORTIVUS A;54.5;169;66.7;3731;66.7;3731;62.6;2543;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;159.1918
ANOT.ST;ANOTO GROUP;72.2;324;71;1331;69.7;4054;71;1903;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;135.113
CE.ST;CORTUS ENERGY;57.1;155;65.6;540;67.2;5463;63.3;2052;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;129.8916
SALT-B.ST;SALTX TECHNOLOGY HOLDING;53.8;140;58.1;579;56.5;5429;56.1;2049;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;114.9489
SAVOS.ST;SAVO SOLAR;52.9;119;63.3;1347;63.3;3851;59.8;1772;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;105.9656
PRLD.NGM;PROLIGHT DIAGNOSTICS;66.7;1097;65;1593;65;1593;65.6;1427;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;93.6112
EOID.NGM;EYEONID GROUP;76.2;242;67.6;792;73.3;1920;72.4;984;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;71.2416
TRANS.ST;TRANSTEMA;68.8;199;68.8;307;67.7;2512;68.4;1006;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;68.8104
MEDR-B.ST;MEDIRATT B;66.7;145;65.4;247;71.2;2393;67.8;928;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;62.9184
MYFC.ST;MYFC HOLDING;91.7;135;75;297;72.6;1873;79.8;768;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;61.2864
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;87.5;637;69.2;900;69.2;900;75.3;812;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;61.1436
