NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
43464.ST;STOCKWIK FORVALTNING;53.8;237;47.6;174;33.3;34;44.9;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;N/A;N/A;N/A
43720.ST;MYCRONIC;69.2;146;57.6;119;65.6;265;64.1;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;N/A;N/A;N/A
43825.ST;I.A.R SYSTEMS GROUP;66.7;123;65.2;132;64.9;199;65.6;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;N/A;N/A;N/A
47307.ST;NORDIC LEISURE;73.3;183;57.6;435;54.0;757;61.6;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;N/A;N/A;N/A
66669.ST;ALLTELE;;;;;;;;;;N/A;N/A;N/A
A1M.ST;A1M;58.3;157;57.9;191;61.0;641;59.1;329;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;11;93181;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;N/A;N/A;N/A
AAC.ST;AAC MICROTEC;73.3;233;58.6;466;58.1;434;63.3;377;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;11;130711;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;88.9;825;68.0;1148;70.4;1166;75.8;1046;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;N/A;N/A;N/A
AAK.ST;AARHUSKARLSHAMN;52.4;118;55.8;126;58.7;156;55.6;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;N/A;N/A;N/A
AAP-B.ST;ARC AROMA;61.1;142;62.5;311;57.6;1091;60.4;514;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;N/A;N/A;N/A
ABB.ST;ABB LTD N;60.0;110;61.3;136;58.0;184;59.8;143;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;78.6;256;75.0;264;75.0;264;76.2;261;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;N/A;N/A;N/A
ACAD.ST;ACADEMEDIA;41.2;103;57.1;142;63.3;192;53.9;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
ACAN-B.ST;ACANDO;58.8;113;64.9;139;61.9;258;61.9;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;N/A;N/A;N/A
ACARIX.ST;ACARIX;61.5;109;54.5;88;54.5;88;56.8;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;11;130710;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11
ACM.ST;A CITY MEDIA;64.7;156;51.5;151;49.2;340;55.1;215;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;11;116111;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11
ACTI.ST;ACTIVE BIOTECH;66.7;228;79.3;322;70.5;962;72.2;504;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11
ADDERA.ST;ADDERACARE;72.2;117;73.3;144;71.9;147;72.5;136;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
ADDT-B.ST;ADDTECH B;68.4;118;66.7;145;64.8;256;66.6;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;N/A;N/A;N/A
ADDV-B.ST;ADDVISE GROUP;38.9;82;35.7;83;47.9;80;40.8;81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;N/A;N/A;N/A
ADVE.ST;ADVENICA;55.0;125;56.4;154;58.6;248;56.7;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;11;102777;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11
AERO.ST;SVENSKA AEROGEL HOLDING;56.0;154;53.5;127;55.6;141;55.0;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;11;130818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11
AF-B.ST;AF B;73.9;110;58.1;107;58.2;158;63.4;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;N/A;N/A;N/A
AGES-B.ST;AGES INDUSTRI;50.0;101;77.8;124;61.4;148;63.1;124;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;N/A;N/A;N/A
AGORA-PREF.ST;AGORA PREF PRF;77.8;106;58.8;105;58.8;105;65.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;N/A;N/A;N/A
AGRO.ST;AGROMINO;50.0;98;50.0;123;54.1;234;51.4;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;11;40543;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11
AHSL.ST;AHLSELL;50.0;93;56.8;97;58.0;102;54.9;97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
AIK-B.NGM;AIK FOTBALL B;17.6;95;39.4;98;38.7;122;31.9;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;N/A;N/A;N/A
AINO.ST;AINO HEALTH;57.1;179;51.5;221;48.6;198;52.4;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;11;130478;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;64.7;102;41.0;99;43.3;109;49.7;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;N/A;N/A;N/A
ALCA.ST;ALCADON GROUP;85.7;112;59.3;127;58.5;148;67.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
ALELIO.ST;ALELION ENERGY SYSTEMS;80.0;157;57.6;157;56.5;127;64.7;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST;11;123692;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123692&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;N/A;N/A;N/A
ALFA.ST;ALFA LAVAL;64.7;109;48.5;111;52.1;144;55.1;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
ALIF-B.ST;ADDLIFE;50.0;86;57.5;87;58.1;148;55.2;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;N/A;N/A;N/A
ALIG.ST;ALIMAK GROUP;68.4;110;66.7;128;64.6;223;66.6;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
ALIRA-B.ST;ALIGERA;50.0;479;58.3;861;58.3;861;55.5;733;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;N/A;N/A;N/A
ALIV-SDB.ST;AUTOLIV SDR;66.7;125;68.6;163;63.6;230;66.3;172;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;N/A;N/A;N/A
ALLG-B.ST;ALLGON B;70.0;110;59.1;119;51.0;213;60.0;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;N/A;N/A;N/A
ALM-PREF.ST;ALM PRF;55.6;99;52.6;102;38.8;96;49.0;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;N/A;N/A;N/A
ALON-B.NGM;ARCHELON;75.0;117;72.7;129;62.7;173;70.1;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;N/A;N/A;N/A
AM1S.ST;AHLSTROM-MUNKSJO;32.0;90;37.8;102;50.6;194;40.1;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;N/A;N/A;N/A
AMAST.ST;AMSTEN HOLDING B;60.0;114;48.4;112;49.2;168;52.5;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;N/A;N/A;N/A
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;47.6;92;48.7;93;46.4;106;47.6;97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;N/A;N/A;N/A
AMBEA.ST;AMBEA;57.1;103;61.3;108;61.3;108;59.9;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;11;135504;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135504&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;64.7;175;63.2;218;63.2;218;63.7;203;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;46.7;105;51.5;129;55.7;188;51.3;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;N/A;N/A;N/A
ANOT.ST;ANOTO GROUP;68.8;301;71.0;1331;69.7;4054;69.8;1895;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;59.1;121;53.5;113;51.9;152;54.8;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;60.0;105;64.4;114;60.8;194;61.7;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;N/A;N/A;N/A
ARCM.ST;ARCAM;63.6;105;59.3;107;61.5;301;61.5;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;N/A;N/A;N/A
ARCOMA.ST;ARCOMA;57.1;137;54.5;158;43.6;120;51.7;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;52.9;225;48.6;268;52.2;654;51.2;382;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;N/A;N/A;N/A
ARISE.ST;ARISE AB;52.6;131;58.3;163;54.3;236;55.1;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;64.7;123;51.2;141;50.7;171;55.5;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;11;82338;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82338&marketid=11
ARP.ST;ARCTIC PAPER;70.0;132;62.5;149;62.1;207;64.9;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;43.5;98;43.2;106;54.5;123;47.1;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;N/A;N/A;N/A
ATCO-A.ST;ATLAS COPCO A;69.2;108;63.6;120;54.9;161;62.6;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;N/A;N/A;N/A
ATCO-B.ST;ATLAS COPCO B;64.7;104;58.5;123;55.7;156;59.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;N/A;N/A;N/A
ATIC.ST;ACTIC GROUP;83.3;176;75.0;179;75.0;179;77.8;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
ATORX.ST;ALLIGATOR BIOSCIENCE;54.2;122;52.4;115;52.3;115;53.0;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;11;129022;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129022&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;61.5;101;58.6;104;62.3;151;60.8;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;N/A;N/A;N/A
ATT.ST;ATTENDO;50.0;99;53.8;112;61.4;172;55.1;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
AUR.ST;AURIANT MINING;50.0;90;43.5;47;55.6;443;49.7;193;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;11;76848;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=76848&marketid=11
AUTO.ST;VA AUTOMOTIVE;46.7;193;58.8;243;54.2;279;53.2;238;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;11;104396;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104396&marketid=11
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;N/A;N/A;N/A
AVEN.ST;AVENSIA;50.0;125;53.8;123;50.8;195;51.5;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;11;5101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5101&marketid=11
AVT-B.ST;AVTECH SWEDEN;77.8;117;65.8;215;51.3;172;65.0;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST;N/A;N/A;N/A
AXFO.ST;AXFOOD;52.2;113;40.4;105;50.6;123;47.7;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;11;4590;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4590&marketid=11
AXIC-A.ST;AXICHEM A;64.7;211;62.1;307;56.0;318;60.9;278;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;N/A;N/A;N/A
AXIS.ST;AXIS;33.3;98;48.4;106;48.4;119;43.4;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;11;5150;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5150&marketid=11
AZA.ST;AVANZA BANK HOLDING;70.6;137;76.9;158;77.9;319;75.1;204;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
AZN.ST;ASTRAZENECA;66.7;108;62.5;150;63.6;229;64.3;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;11;3524;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3524&marketid=11
B3IT.ST;B3IT MANAGEMENT;42.9;94;44.2;103;44.4;112;43.8;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;11;123339;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123339&marketid=11
BACTI-B.ST;BACTIGUARD HOLD;50.0;110;50.0;148;55.4;224;51.8;160;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;N/A;N/A;N/A
BALD-B.ST;FASTIGHETS BALDER B;66.7;114;60.0;123;56.2;153;61.0;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;N/A;N/A;N/A
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;N/A;N/A;N/A
BAYN.ST;BAYN EUROPE;60.0;146;52.6;332;56.7;816;56.4;431;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;11;103618;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103618&marketid=11
BEGR.ST;BE GROUP;52.9;118;56.8;209;55.4;379;55.0;235;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11
BEIA-B.ST;BEIJER ALMA B;57.1;108;59.5;150;53.5;162;56.7;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST;N/A;N/A;N/A
BEIJ-B.ST;BEIJER REF AB;60.0;126;68.8;146;64.7;172;64.5;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;N/A;N/A;N/A
BELE.ST;BEIJER ELECTRONICS GROUP;81.2;126;61.8;157;64.5;191;69.2;158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST;11;5081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5081&marketid=11
BERG-B.ST;BERGMAN & BEVING;76.5;134;63.9;180;65.8;274;68.7;196;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;N/A;N/A;N/A
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;83.3;145;64.3;180;63.3;333;70.3;219;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;11;101207;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101207&marketid=11
BETS-B.ST;BETSSON B;61.1;115;65.9;142;63.9;187;63.6;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;N/A;N/A;N/A
BILI-A.ST;BILIA A;52.4;111;48.6;126;51.9;161;51.0;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;N/A;N/A;N/A
BILL.ST;BILLERUD KORSNAS;33.3;88;43.2;91;59.5;120;45.3;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST;N/A;N/A;N/A
BIM.ST;BIMOBJECT;61.1;139;65.8;229;69.1;1684;65.3;684;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11
BINV.ST;BIOINVENT INTERNATIONAL;47.1;136;58.6;187;62.3;391;56.0;238;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;11;13348;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13348&marketid=11
BIOG-B.ST;BIOGAIA B;52.4;129;55.6;168;61.2;248;56.4;181;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;N/A;N/A;N/A
BIOS.ST;BIOSERVO TECHNOLOGIES;43.5;82;48.0;106;48.0;106;46.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;11;138312;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138312&marketid=11
BIOT.ST;BIOTAGE;60.9;161;69.2;275;64.4;464;64.8;300;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;11;5209;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11
BIOVIC-B.ST;BIOVICA INTERNATIONAL;78.6;110;80.0;164;80.0;164;79.5;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;N/A;N/A;N/A
BMAX.ST;BYGGMAX GROUP;44.4;101;52.8;119;53.9;137;50.4;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;11;75712;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75712&marketid=11
