NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
43464.ST;STOCKWIK FORVALTNING;57.1;216;50.0;158;34.6;31;47.2;135;2.45;-3.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;N/A;N/A;N/A
43720.ST;MYCRONIC;66.7;125;60.6;137;66.1;297;64.5;186;4.9;1.32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;N/A;N/A;N/A
43825.ST;I.A.R SYSTEMS GROUP;66.7;123;65.2;132;64.9;199;65.6;151;2.4;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;N/A;N/A;N/A
47307.ST;NORDIC LEISURE;73.3;183;57.6;435;54.0;757;61.6;458;7.93;1.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;N/A;N/A;N/A
66669.ST;ALLTELE;;;;;;;;;;;;N/A;N/A;N/A
A1M.ST;A1M;58.3;157;57.9;191;60.5;561;58.9;303;3.48;1.07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;11;93181;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;;;N/A;N/A;N/A
AAC.ST;AAC MICROTEC;75.0;227;60.0;453;59.4;422;64.8;367;8.84;-2.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;11;130711;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;85.7;383;68.0;1148;70.4;1166;74.7;899;26.18;6.11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;N/A;N/A;N/A
AAK.ST;AARHUSKARLSHAMN;52.4;118;55.8;126;58.7;156;55.6;133;1.37;0.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;N/A;N/A;N/A
