NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
43464.ST;STOCKWIK FORVALTNING;0.0478;57.1;216;50.0;158;34.6;31;47.2;135;2.45;-3.86;26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;N/A;N/A;N/A
43720.ST;MYCRONIC;108.7;66.7;125;60.6;137;66.1;297;64.5;186;4.9;1.32;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;N/A;N/A;N/A
43825.ST;I.A.R SYSTEMS GROUP;223.0;66.7;123;65.2;132;64.9;199;65.6;151;2.4;1.04;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;N/A;N/A;N/A
47307.ST;NORDIC LEISURE;29.7;73.3;183;54.8;430;54.0;757;60.7;456;7.93;1.5;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;N/A;N/A;N/A
66669.ST;ALLTELE;;;;;;;;;;;;;;N/A;N/A;N/A
A1M.ST;A1M;5.7;60.0;156;59.0;191;61.0;560;60.0;302;3.48;1.07;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;11;93181;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;;;;;N/A;N/A;N/A
AAC.ST;AAC MICROTEC;7.97;75.0;227;60.0;453;59.4;422;64.8;367;8.84;-2.31;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;11;130711;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;0.5;71.4;383;64.0;1148;66.7;1166;67.4;899;26.18;6.11;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;N/A;N/A;N/A
AAK.ST;AARHUSKARLSHAMN;750.0;54.5;118;58.1;128;59.2;156;57.3;134;1.34;0.35;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;11;36273;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11
AAP-B.ST;ARC AROMA;45.9;61.1;142;62.5;311;57.6;1091;60.4;514;6.18;0.64;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;11;93180;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11
ABB.ST;ABB LTD N;197.5;62.5;111;62.5;137;58.6;186;61.2;144;1.85;0.68;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.14;75.0;164;75.0;264;75.0;264;75.0;230;9.16;3.22;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;N/A;N/A;N/A
ACAD.ST;ACADEMEDIA;57.5;38.9;102;57.1;143;62.0;190;52.7;145;2.4;0.46;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
ACAN-B.ST;ACANDO;29.25;66.7;113;68.4;139;64.1;258;66.4;170;3.32;2.36;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;11;981;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11
ACARIX.ST;ACARIX;8.7;53.8;109;51.5;88;51.5;88;52.3;95;-0.15;-2.15;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;11;130710;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11
ACM.ST;A CITY MEDIA;132.5;60.0;137;51.5;151;49.2;340;53.6;209;4.13;0.0;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;11;116111;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11
ACTI.ST;ACTIVE BIOTECH;4.17;66.7;228;79.3;322;70.5;962;72.2;504;9.05;3.05;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;N/A;N/A;N/A
ADDERA.ST;ADDERACARE;10.5;73.7;127;74.2;157;72.7;160;73.5;148;2.15;1.24;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
ADDT-B.ST;ADDTECH B;179.0;68.4;118;65.8;144;64.8;256;66.3;172;2.71;1.92;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;11;14336;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11
ADDV-B.ST;ADDVISE GROUP;1.395;38.9;82;35.7;83;47.8;82;40.8;82;0.88;-1.16;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;11;113184;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113184&marketid=11
ADVE.ST;ADVENICA;13.8;55.6;125;55.3;155;58.6;248;56.5;176;2.94;0.52;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;11;102777;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11
AERO.ST;SVENSKA AEROGEL HOLDING;5.42;58.3;163;53.5;127;55.6;141;55.8;143;3.07;-0.4;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;11;130818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11
AF-B.ST;AF B;189.2;70.8;111;56.8;109;57.7;151;61.8;123;1.62;0.28;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;N/A;N/A;N/A
AGES-B.ST;AGES INDUSTRI;87.0;33.3;99;73.7;121;60.0;144;55.7;121;2.06;1.76;20;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;11;100816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100816&marketid=11
AGORA-PREF.ST;AGORA PREF PRF;254.0;85.7;108;58.8;105;58.8;105;67.8;106;0.92;0.33;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;11;110782;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110782&marketid=11
AGRO.ST;AGROMINO;19.1;53.3;97;51.6;121;54.1;232;53.0;150;2.14;0.5;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;11;40543;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11
AHSL.ST;AHLSELL;52.65;52.2;93;56.8;96;58.8;102;55.9;97;0.56;0.52;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
AIK-B.NGM;AIK FOTBALL B;2.5;23.5;95;42.4;98;40.3;122;35.4;105;1.25;-0.38;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;13;2X7;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2X7&marketid=13
AINO.ST;AINO HEALTH;4.37;61.5;181;51.6;228;48.6;198;53.9;202;0.36;-0.6;17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;11;130478;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;331.5;64.7;102;41.0;99;43.3;109;49.7;103;0.42;0.15;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;11;101200;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101200&marketid=11
ALCA.ST;ALCADON GROUP;44.8;87.5;132;63.0;155;59.5;175;70.0;154;2.7;2.25;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
ALELIO.ST;ALELION ENERGY SYSTEMS;7.62;80.0;157;56.2;145;56.5;127;64.2;143;2.38;-0.77;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST;11;123692;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123692&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;;;;;N/A;N/A;N/A
ALFA.ST;ALFA LAVAL;195.15;66.7;112;50.0;113;52.8;147;56.5;124;1.51;0.7;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
ALIF-B.ST;ADDLIFE;173.5;40.0;86;55.0;87;56.8;148;50.6;107;2.11;0.59;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;11;120190;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120190&marketid=11
ALIG.ST;ALIMAK GROUP;129.0;68.4;110;66.7;128;64.6;223;66.6;153;2.96;2.14;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
ALIRA-B.ST;ALIGERA;4.3;50.0;479;58.3;861;58.3;861;55.5;733;22.01;-1.12;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;N/A;N/A;N/A
ALIV-SDB.ST;AUTOLIV SDR;1237.0;63.6;125;66.7;163;62.8;230;64.4;172;2.23;0.99;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;11;47;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=47&marketid=11
ALLG-B.ST;ALLGON B;8.1;70.0;110;59.1;119;52.0;220;60.4;149;1.82;-1.4;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;11;28738;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=28738&marketid=11
ALM-PREF.ST;ALM PRF;105.5;57.1;100;52.6;102;38.8;96;49.5;99;0.32;-0.12;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;11;88573;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=88573&marketid=11
ALON-B.NGM;ARCHELON;0.153;75.0;117;71.4;128;63.8;183;70.1;142;2.35;1.72;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;N/A;N/A;N/A
AM1S.ST;AHLSTROM-MUNKSJO;172.0;34.6;94;39.1;107;51.3;202;41.7;134;2.66;0.42;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;11;104597;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104597&marketid=11
AMAST.ST;AMSTEN HOLDING B;3.6;60.0;114;48.4;112;49.2;165;52.5;130;2.03;0.34;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;11;53228;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=53228&marketid=11
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;291.0;47.6;92;48.7;93;46.4;106;47.6;97;0.48;0.0;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;11;101778;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101778&marketid=11
AMBEA.ST;AMBEA;65.0;52.6;104;58.1;108;58.1;108;56.3;106;0.73;0.0;15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;11;135504;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135504&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;5.6;64.7;175;63.2;218;63.2;218;63.7;203;5.22;0.56;9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;84.2;50.0;112;52.9;138;56.5;202;53.1;150;2.85;0.82;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;11;3887;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3887&marketid=11
ANOT.ST;ANOTO GROUP;4.776;64.7;300;67.7;1089;69.7;4314;67.4;1901;8.16;1.27;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;8.205;55.0;120;51.2;113;50.6;152;52.3;128;1.81;-0.31;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;175.0;60.0;105;64.4;114;61.0;170;61.8;129;1.45;0.72;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;11;13236;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13236&marketid=11
ARCM.ST;ARCAM;345.0;63.6;105;59.3;107;61.5;301;61.5;171;4.61;0.55;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;N/A;N/A;N/A
ARCOMA.ST;ARCOMA;7.46;52.4;137;51.5;158;42.6;123;48.8;139;1.69;-0.12;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;0.676;52.9;225;48.6;268;52.2;654;51.2;382;5.0;-0.71;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;N/A;N/A;N/A
ARISE.ST;ARISE AB;12.8;47.1;120;58.3;163;55.1;244;53.5;175;1.79;0.12;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;3.18;66.7;95;53.5;112;52.0;136;57.4;114;0.5;-1.55;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;N/A;N/A;N/A
ARP.ST;ARCTIC PAPER;9.12;66.7;134;60.6;150;61.2;209;62.8;164;1.89;0.65;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;184.4;45.8;99;44.7;107;55.1;124;48.5;110;0.98;0.76;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;11;402;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=402&marketid=11
ATCO-A.ST;ATLAS COPCO A;357.6;69.2;108;63.6;120;54.9;161;62.6;129;1.72;1.15;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;11;45;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=45&marketid=11
