NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
43464.ST;STOCKWIK FORVALTNING;0.0468;57.1;216;52.4;163;34.6;31;48.0;136;24.0;2.45;-3.86;26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;N/A;N/A;N/A
43720.ST;MYCRONIC;109.2;69.2;124;60.6;137;65.6;275;65.1;178;65.5;4.79;1.29;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;N/A;N/A;N/A
43825.ST;I.A.R SYSTEMS GROUP;224.5;66.7;123;65.2;132;64.9;199;65.6;151;64.3;2.4;1.04;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;N/A;N/A;N/A
47307.ST;NORDIC LEISURE;30.65;73.3;183;54.8;430;54.0;757;60.7;456;61.3;7.93;1.5;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;N/A;N/A;N/A
66669.ST;ALLTELE;;;;;;;;;;;;;;;N/A;N/A;N/A
A1M.ST;A1M;5.54;56.0;156;56.4;191;59.7;560;57.4;302;52.6;3.48;1.07;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;11;93181;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;;;;;;N/A;N/A;N/A
AAC.ST;AAC MICROTEC;7.56;75.0;227;60.0;453;59.4;422;64.8;367;40.0;8.84;-2.31;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;11;130711;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;0.41;75.0;343;65.4;1028;67.9;1044;69.4;805;61.5;23.58;4.0;14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;N/A;N/A;N/A
AAK.ST;AARHUSKARLSHAMN;745.0;54.5;118;58.1;128;59.2;156;57.3;134;64.9;1.34;0.35;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;11;36273;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11
