NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;PRICE_CHANGE_PERCENT_AVERAGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
LOOM-B.ST;LOOMIS B;303.2;68.8;129;64.7;163;71.6;308;68.4;200;33;84,8;3,27;2,11;15,23;3,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;11;61536;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=61536&marketid=11
AZA.ST;AVANZA BANK HOLDING;456.8;72.2;138;79.5;163;78.2;321;76.6;207;39;84,2;2,76;1,49;2,33;3,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
G5EN.ST;G5 ENTERTAINMENT;340.0;65.0;161;61.1;269;64.9;2054;63.7;828;38;84,2;8,27;6,59;16,54;7,57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;11;60158;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11
SAGA-D.ST;SAGAX LINE D;32.4;38.5;100;59.3;112;54.5;110;50.8;107;16;81,2;1,09;0,4;0;1,22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-D.ST;11;128555;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128555&marketid=11
66669.ST;ALLTELE;;;;;;;;;;;;;;;;;N/A;N/A;N/A
DCAR-B.ST;D CARNEGIE & CO B;124.0;75.0;122;79.3;144;79.6;240;78.0;168;27;80,8;3,8;1,3;0;3,53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;11;100378;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100378&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;;;;;;;;N/A;N/A;N/A
HOYLU.ST;HOYLU;6.2;61.5;174;73.9;451;73.9;451;69.8;358;11;80;16,06;5,14;83,36;16,01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST;11;133092;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133092&marketid=11
LUND-B.ST;LUNDBERGFORETAGEN B;617.5;68.4;102;74.2;125;70.5;184;71.0;137;30;80;2,44;1,38;14,19;2,37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUND-B.ST;11;1012;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1012&marketid=11
PRLD.NGM;PROLIGHT DIAGNOSTICS;4.35;71.4;1540;68.2;2236;68.2;2236;69.3;2004;11;80;44,66;20,06;25,14;29,23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;N/A;N/A;N/A
XMEM.ST;DB X-TRACKERS MSCI EM ETF;414.6;63.6;114;64.0;115;63.5;121;63.7;116;31;80;1,07;0,7;0;1,68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMEM.ST;N/A;N/A;N/A
CRED-A.ST;CREADES A;315.0;65.0;122;71.1;171;66.7;248;67.6;180;30;79,3;2,9;2,46;0;3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;11;86903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86903&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.132;75.0;164;75.0;264;75.0;264;75.0;230;8;71,4;9,16;3,22;192,69;13,63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;N/A;N/A;N/A
