NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
43464.ST;STOCKWIK FORVALTNING;0.0456;62.5;243;56.5;184;38.5;70;52.5;165;26;28.0;8.5;5.0;-5.01;-4.83;24.49;2.78;-3.5;2.45;1.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;N/A;N/A;N/A
43720.ST;MYCRONIC;105.6;64.3;123;59.4;140;64.5;271;62.7;178;31;63.3;5.41;2.25;-2.08;-2.03;8.81;3.22;0.49;4.01;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;11;4714;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11
43825.ST;I.A.R SYSTEMS GROUP;221.0;62.5;125;66.7;142;65.5;215;64.9;160;29;64.3;3.01;1.77;-1.32;-0.56;4.63;4.36;1.8;1.71;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;11;2346;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11
47307.ST;NORDIC LEISURE;29.55;76.5;204;57.6;479;55.6;865;63.2;516;31;60.0;7.28;3.58;-2.1;-1.59;15.01;11.69;5.58;7.37;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;11;35508;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11
66669.ST;ALLTELE;;;;;;;;;;;;;;;;;;;;;;;;
A1M.ST;A1M;5.17;60.0;158;57.5;185;59.2;494;58.9;279;38;51.4;8.06;3.92;-4.03;-3.2;9.58;4.13;-0.23;2.17;6.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;11;93181;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;;;;;;;;;;;;;;;
AAC.ST;AAC MICROTEC;6.83;71.4;192;60.0;453;59.4;422;63.6;355;16;40.0;11.25;5.49;-4.06;-3.03;30.34;20.27;5.49;8.9;1.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;11;130711;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;;;;;;;;;;;;;;;;;;;;;;;;
AAK.ST;AARHUSKARLSHAMN;722.5;54.5;118;58.1;128;59.2;156;57.3;134;38;64.9;1.96;1.17;-1.09;-0.93;2.6;1.47;-0.17;0.5;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;11;36273;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11
