DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;CONFIRMATION;PRICE_LAST;PRICE_LEVEL;LAST_LEVEL_DIFFERENCE;ADJUSTED;;BUY;
2018-03-08;09:07;Thursday;CI-B.ST;BUY;UPGreen;11,25;10,775;104,41;4,41;;;
2018-03-08;09:07;Thursday;EOID.NGM;SELL;DOWNGreen;12,14;12,52;96,96;-3,04;;;
2018-03-08;09:07;Thursday;G5EN.ST;BUY;UPYellow;335;321;104,36;4,36;;;
2018-03-08;09:07;Thursday;SPEC.ST;BUY;UPGreen;18,3;15,9;115,09;15,09;;;
2018-03-08;09:12;Thursday;HELIO.ST;BUY;UPGreen;7,2;7,08;101,69;1,69;;;
2018-03-08;09:12;Thursday;SPEC.ST;BUY;UPRed;17,56;15,9;110,44;10,44;;;
2018-03-08;09:14;Thursday;G5EN.ST;BUY;UPGreen;336;321;104,67;4,67;;;
2018-03-08;09:14;Thursday;PIEZO.ST;BUY;UPGreen;46,8;46,7;100,21;0,21;;;
2018-03-08;09:33;Thursday;CI-B.ST;BUY;UPYellow;11,15;10,775;103,48;3,48;;;
2018-03-08;09:33;Thursday;EOID.NGM;SELL;DOWNRed;12,32;12,52;98,4;-1,60;;;
2018-03-08;09:33;Thursday;SALT-B.ST;SELL;DOWNGreen;25,5;25,9;98,46;-1,54;;;
2018-03-08;09:35;Thursday;EOID.NGM;SELL;DOWNOrange;12,3;12,52;98,24;-1,76;;;
2018-03-08;09:40;Thursday;SPEC.ST;BUY;UPYellow;17,98;15,9;113,08;13,08;;;
2018-03-08;09:47;Thursday;G5EN.ST;BUY;UPRed;334,6;321;104,24;4,24;;;
2018-03-08;09:47;Thursday;SALT-B.ST;SELL;DOWNYellow;25,52;25,9;98,53;-1,47;;;
2018-03-08;09:52;Thursday;EOID.NGM;SELL;DOWNYellow;12,16;12,52;97,12;-2,88;;;
2018-03-08;09:52;Thursday;HELIO.ST;BUY;UPRed;7,16;7,08;101,13;1,13;;;
2018-03-08;10:52;Thursday;HELIO.ST;BUY;UPYellow;7,2;7,08;101,69;1,69;;;
2018-03-08;10:54;Thursday;CI-B.ST;BUY;UPRed;11,1;10,775;103,02;3,02;;;
2018-03-08;19:45;Thursday;EOID.NGM;SELL;SELL;11,58;12,4;93,39;-6,61;;;
2018-03-08;19:45;Thursday;G5EN.ST;BUY;BUY;334;333,6;100,12;0,12;1;FACTOR_WITHIN_PERCENTAGE;0,8
2018-03-08;19:45;Thursday;HELIO.ST;BUY;BUY;7,2;7,16;100,56;0,56;1;COUNT_WITHIN;4
2018-03-08;19:45;Thursday;SALT-B.ST;SELL;SELL;24,82;25,86;95,98;-4,02;;;
2018-03-08;19:45;Thursday;SPEC.ST;BUY;BUY;18,38;17,54;104,79;4,79;0;COUNT_TOTAL;12
2018-03-09;09:23;Friday;ENRO.ST;BUY;UPGreen;0,0516;0,0515;100,19;0,19;;;
2018-03-09;09:28;Friday;ENRO.ST;BUY;UPYellow;0,052;0,0515;100,97;0,97;;;
2018-03-09;10:44;Friday;ENRO.ST;BUY;UPOrange;0,0518;0,0515;100,58;0,58;;;
2018-03-09;11:22;Friday;CI-B.ST;BUY;UPGreen;11,25;10,775;104,41;4,41;;;
2018-03-09;11:45;Friday;ENRO.ST;BUY;UPRed;0,0516;0,0515;100,19;0,19;;;
2018-03-09;19:45;Friday;ENRO.ST;BUY;BUY;0,0522;0,0516;101,163;1,16;0;RES;33%
2018-03-09;19:45;Friday;EOID.NGM;SELL;SELL;11,58;12,4;93,387;-6,61;;;
2018-03-11;19:45;Sunday;ENRO.ST;BUY;BUY;0,0522;0,0516;101,163;1,16;0;;
2018-03-12;09:05;Monday;SPEC.ST;SELL;DOWNGreen;17,6;17,86;98,544;-1,46;;;
2018-03-12;09:14;Monday;INVUO.ST;SELL;DOWNGreen;2,54;2,55;99,608;-0,39;;;
2018-03-12;09:16;Monday;SPEC.ST;SELL;DOWNOrange;17,68;17,86;98,992;-1,01;;;
2018-03-12;09:23;Monday;SERT.ST;BUY;UPGreen;2,27;2,21;102,715;2,72;;;
2018-03-12;09:33;Monday;SPEC.ST;SELL;DOWNYellow;17,62;17,86;98,656;-1,34;;;
2018-03-12;09:40;Monday;INVUO.ST;SELL;DOWNOrange;2,535;2,55;99,412;-0,59;;;
2018-03-12;09:40;Monday;SPEC.ST;SELL;DOWNRed;17,84;17,86;99,888;-0,11;;;
2018-03-12;09:54;Monday;INVUO.ST;SELL;DOWNYellow;2,52;2,55;98,824;-1,18;;;
2018-03-12;10:20;Monday;INVUO.ST;SELL;DOWNRed;2,535;2,55;99,412;-0,59;;;
2018-03-12;11:50;Monday;GOMX.ST;BUY;UPGreen;71;69,5;102,158;2,16;;;
2018-03-12;12:06;Monday;GOMX.ST;BUY;UPRed;71,1;69,5;102,302;2,30;;;
2018-03-12;12:32;Monday;GOMX.ST;BUY;UPYellow;71,5;69,5;102,878;2,88;;;
2018-03-12;19:45;Monday;GOMX.ST;BUY;BUY;72,3;71;101,831;1,83;0;;
